Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1800,6,2,20,17,,2,1,,0,Portugal,16,AZORES,,,,1,,,,,,,,,,
1802,1,4,7,,,2,1,,0,Croatia,12,BAKAR,45.3,14.4,,3,,3,,,,,,,,
1802,3,19,,,,2,1,,0,Antigua And Barbuda,1,ANTIGUA ISLAND & ST. CHRISTOPHER,17.2,-62.4,,2,,,,,,,,,,
1802,8,10,,,,1,0,,0,United Kingdom,7,SW ENGLAND,,,,2,,,,,,,,,,
1802,8,15,,,,3,1,,0,Venezuela,20,CUMANA,10.3,-64.5,,1,,,,,,,,,,
1802,8,,,,,2,1,,0,Indonesia,228,BANDA SEA,-3.7,128.2,,1,1,1.5,,,,,,2,,
1802,11,7,10,45,,3,1,,0,Algeria,12,HARBOUR OF ALGIERS,36.5,2.9,,1,,2,,,,,,3,1100,
1802,12,9,5,,,4,1,6.6,0,Japan,225,NW. HONSHU ISLAND,37.7,138.3,,1,0,,19,,,,,3,1060,
1804,1,8,,,,1,1,,0,Greece,113,"PELOPONNESUS, GREECE",38.2,21.8,,0,,,,,,,,,,
1804,1,13,17,45,,4,1,,0,Spain,9,ALBORAN SEA,36.833,-2.833,,2,,2,,,,,,1,,
1804,6,8,3,,,3,1,6.7,0,Greece,113,CORINTHOS-PATRAS GULF,38.3,21.8,,1,,3,,,,,,,,
1804,7,10,13,,,4,1,7.3,0,Japan,225,NW. HONSHU ISLAND,39.05,139.95,1,2,0.5,1,450,,,,,4,10810,300
1804,7,31,22,,,2,0,,0,Italy,91,BAY OF NAPLES,,,,1,,3,,,,,,,,
1805,1,8,,,,1,0,,0,Greece,113,GULF OF PATRAS,,,,0,,,,,,,,,,
1805,5,8,,,,3,0,,0,Australia,21,NORFOLK ISLAND,-29.06,167.95,5,1,,,,,,,,1,1,
1805,7,26,20,57,,4,1,6.6,0,Italy,91,CAMPANIA,41.5,14.467,,1,,2,,,,,,,,
1806,3,25,8,,,2,1,,0,United States of America,283,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,,1,,,,,,,,,,
1806,8,26,13,20,,2,1,,0,Italy,91,TERRACINA,41.7,12.7,,1,,2,,,,,,,,
1806,12,1,23,,,3,1,7.5,0,Peru,53,CENTRAL PERU,-12.1,-77.1,1,1,,0.5,,,,,,1,,
1806,,,,,,2,0,,0,French Polynesia,4,NUnited KingdomU HIVA ISLAND,-9,-139,1.5,1,,,,,,,,1,,
1808,4,2,16,43,,2,1,5.7,0,Italy,91,ITALIAN COAST,44.833,7.25,0.15,1,,2,2,,,,,1,,
1808,8,8,,,,4,1,6.5,0,Japan,225,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,1.5,1,0.5,0.5,,,,,,,,
1808,12,4,,,,1,0,,0,Japan,225,TOKAIDO,,,,1,,,,,,,,,,
1809,7,3,,,,2,1,,0,Italy,91,GULF OF LA SPEZIA,44.8,7.2,,1,,3,,,,,,,,
1809,7,4,,,,1,0,,0,Portugal,16,PORTUGAL,,,,0,,,,,,,,,,
1809,12,4,,,,1,1,,0,South Africa,4,CAPE OF GOOD HOPE,-33.88,18.45,,2,,,,,,,,1,,
1809,,,,,,1,1,,0,United States of America,283,"GUAM, MARIANA ISLANDS",14,143.3,,1,,,,,,,,,,
1810,2,16,,,,0,1,,0,Greece,113,CRETE,35.5,25,,2,,,,,,,,,,
1810,8,27,,,,4,3,7.4,0,Mexico,59,MEXICO,26,-111.35,,9,,,,,,,,2,,
1810,9,25,,,,4,1,6.6,0,Japan,225,NW. HONSHU ISLAND,39.9,139.9,1,1,1,0,57,,,,,3,1084,
1810,,,,,,2,0,,0,New Zealand,86,NEW ZEALAND,,,,0,,,,,,,,,,
1810,,,,,,4,8,,0,Norway,24,NORTHERN NORWAY,69.433,20.15,,0,,6,,,,,,,,
1811,11,19,14,15,,2,1,,0,Chile,151,CENTRAL CHILE,-33,-71.4,4,1,2,2,,,,,,,,
1811,12,16,8,15,,0,1,8.5,0,United States of America,283,AR: NE -  NEW MADRID EARTHQUAKES,35.6,-90.4,,4,,,,,,,,3,,
1811,12,16,14,15,,0,1,8,0,United States of America,283,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,,1,,,,,,,,,,
1812,1,23,15,0,,0,1,8.4,0,United States of America,283,"NEW MADRID, MO",36.3,-89.6,,1,,,,,,,,,,
1812,2,7,9,45,,0,1,8.8,0,United States of America,283,"NEW MADRID, MO",36.5,-89.6,,1,,,,,,1,,3,,
1812,3,26,20,7,,2,1,7.7,0,Venezuela,20,LA GUAIRA,10.6,-66.9,,1,,,26000,,,,,3,,
1812,6,23,,,,2,2,,0,France,8,MARSEILLES,43.3,5.366,,1,,,,,,,,,,
1812,11,11,10,50,,2,1,,0,Jamaica,5,KINGSTON,18,-76.8,,1,,,,,,,,2,,
1812,12,21,19,0,,4,3,7.5,0,United States of America,283,S. CALIFORNIA,34.2,-119.9,3.4,4,1.8,1.5,1,,,,,2,,
1812,,,,,,1,0,,0,United States of America,283,"SAN FRANCISCO, N. CALIFORNIA",,,,1,,,,,,,,,,
1813,5,17,,,,1,6,,0,Italy,91,CAMPANIA,40.817,14.433,,3,,2,,,,,,,,
1813,,,,,,-1,0,,0,United States of America,283,HAWAII,,,,1,1,1,,,,,,,,
1814,,,,,,2,1,,0,Indonesia,228,TIMOR ISLAND,-10.217,123.633,,1,1,0,,,,,,3,,
1815,4,10,,,,4,6,,1,Indonesia,228,TAMBORA,-8.2,118,4,6,2,1.5,60000,,,,,4,,
1815,4,11,,,,1,1,,0,Indonesia,228,AMBON ISLAND,-3.7,128.4,,1,,,,,,,,2,,
1815,11,22,,,,3,3,7,0,Indonesia,228,BALI SEA,-8,115,,1,1,1.5,11453,,,,,,,
1816,2,2,0,40,,-1,1,7,0,Portugal,16,LISBON,,,,0,,,,,,,,,,
1816,5,1,,,,2,1,,0,Indonesia,228,MALACCA STRAIT,5,96.5,,1,,0,,,,,,,,
1816,12,20,,,,-1,8,,0,Japan,225,"W. IZU PENIN., JAPAN",,,,1,1,1,,,,,,,,
1817,1,1,,,,1,1,,0,Greece,113,IONIAN SEA,,,,0,,,,,,,,,,
1817,1,8,,,,0,1,,0,United States of America,283,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,0.3,1,,,,,,,,,,
1817,1,14,3,30,,1,1,,0,Italy,91,SICILY CHANNEL,37.5,13,,1,,3,,,,,,,,
1817,8,23,8,,,3,1,6.8,0,Greece,113,CORINTHOS-PATRAS GULF,38.3,22.1,5,2,,3,,,,,,,,
